year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Audi,A7,Premium quattro,Sedan,automatic,wauygafc0cn087585,ca,33,36671,black,black,south bay hyundai,39300,40500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,automatic,wbakg7c52ce802266,ca,45,37632,gray,tan,financial services remarketing (lease),30200,32000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcdw24820,ca,48,27979,gray,black,financial services remarketing (lease),33100,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c58cdw24170,ca,43,22371,black,black,financial services remarketing (lease),34300,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdx03875,ca,41,32960,white,tan,financial services remarketing (lease),31000,29250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c59cc618669,ca,41,46534,white,black,financial services remarketing (lease),42300,41500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c59cf259549,ca,45,29157,brown,black,financial services remarketing (lease),24600,24750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdx02654,ca,44,24506,blue,—,financial services remarketing (lease),33800,33000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A5,2.0T Premium quattro,Coupe,automatic,waulfafr6ca037394,ca,38,32737,white,black,porsche of downtown la,25000,26500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdw24139,ca,42,43112,gray,black,financial services remarketing (lease),28900,29000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdw24979,ca,44,53230,white,—,financial services remarketing (lease),25500,25750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f26ca035583,ca,37,21443,silver,black,ahfc/honda lease trust/hvt  inc.,19700,20900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c57cdw24497,ca,43,27181,black,black,financial services remarketing (lease),33300,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,automatic,wbakg7c50ce802444,ca,45,23777,gray,—,financial services remarketing (lease),31800,33250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c59cc808346,ca,27,33760,gray,black,financial services remarketing (lease),34200,32750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c59cvh84475,ca,44,28509,blue,brown,financial services remarketing (lease),23300,22750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f8xcc014175,ca,37,31595,white,black,ahfc/honda lease trust/hvt  inc. eot,18100,18900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c56ce729432,ca,48,14910,gray,gray,financial services remarketing (lease),30700,31500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c58ce728380,ca,42,31388,gray,black,financial services remarketing (lease),28300,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f87cc007412,ca,45,37284,red,black,ahfc/honda lease trust/hvt  inc. eot,17700,18400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c54ccy37992,ca,49,53016,white,gray,financial services remarketing (lease),31300,34250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c56cc963431,ca,34,24739,white,gray,financial services remarketing (lease),47000,46750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce729732,ca,36,32456,blue,off-white,financial services remarketing (lease),27500,26750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c52ce729136,ca,35,35000,silver,off-white,financial services remarketing (lease),27800,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Convertible,automatic,wbadx7c54ce744332,ca,43,37509,black,—,financial services remarketing (lease),29800,31500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c59cc448049,ca,48,39825,—,gray,financial services remarketing (lease),58100,58500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c59cds99963,ca,39,36156,blue,gray,financial services remarketing (lease),34800,35500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c59cdl72460,ca,38,22845,white,—,financial services remarketing (lease),50000,52500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c5xcc575577,ca,39,24576,black,black,financial services remarketing (lease),41800,40500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca004980,ca,42,32354,black,beige,ahfc/honda lease trust/hvt  inc. eot,18900,20300,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c58cc962863,ca,49,35093,blue,tan,financial services remarketing (lease),45200,44500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c58cc618677,ca,41,51983,black,—,financial services remarketing (lease),41400,40000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f48cc010509,ca,42,36621,gray,black,ahfc/honda lease trust/hvt  inc. eot,16800,18200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Coupe,manual,wbaup9c54cvf46588,ca,29,37168,blue,gray,financial services remarketing (lease),18100,18000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c5xcc576244,ca,36,18602,white,gray,financial services remarketing (lease),43200,42000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,RDX,Technology Package,SUV,,5j8tb2h54ca000490,ca,4,35348,gray,beige,ahfc/honda lease trust/hvt  inc. eot,22700,22000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c50ce784530,ca,35,25240,black,black,financial services remarketing (lease),42000,42500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c5xcfj88779,ca,44,19411,gray,—,financial services remarketing (lease),26600,27250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,550i,Sedan,automatic,wbafr9c5xcdv58413,ca,47,38066,black,black,financial services remarketing (lease),40200,42500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl71784,ca,4,28606,gray,black,financial services remarketing (lease),48600,49500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c54ce755722,ca,47,26086,black,black,financial services remarketing (lease),22300,22750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c56cc964045,ca,49,17647,gray,black,financial services remarketing (lease),49000,49000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c56cc618502,ca,48,43505,gray,black,financial services remarketing (lease),43000,44500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i xDrive,Convertible,automatic,wbalz5c56cc619497,ca,33,32289,gray,black,financial services remarketing (lease),47000,48000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c55cdl70821,ca,44,53404,white,—,financial services remarketing (lease),43500,43500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72186,ca,45,21262,white,—,financial services remarketing (lease),50400,52250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c51ccy37982,ca,4,40183,gray,blue,financial services remarketing (lease),34000,35500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c57cvr00222,ca,35,24380,black,black,financial services remarketing (lease),24100,35500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper Coupe,S,Hatchback,manual,wmwsx3c58ct408212,ca,42,51347,gray,black,mckenna audi/mckenna bmw,13700,13750,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A5,2.0T Premium quattro,Coupe,automatic,waulfafr6ca006081,ca,41,33856,white,black,aaero sweet company,24700,27000,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcc594269,ca,34,31616,gray,—,financial services remarketing (lease),29700,28000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,,wba3c1c50ca696789,ca,2,25355,white,beige,gm financial,25300,14750,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c55cdw85315,ca,42,30445,black,black,financial services remarketing (lease),29900,28500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c56ce784810,ca,47,20850,—,black,financial services remarketing (lease),42800,43500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c52cds99120,ca,46,46943,white,black,financial services remarketing (lease),33900,33000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,manual,wbakg7c55ce263223,ca,42,27312,gray,gray,financial services remarketing (lease),31300,33000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c53ce729632,ca,49,33355,gray,black,financial services remarketing (lease),28000,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c52cc807958,ca,43,34966,white,black,the car exchange,34000,32500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c5xcf346666,ca,41,36617,black,black,financial services remarketing (lease),23900,23500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72740,ca,44,25060,white,—,financial services remarketing (lease),49400,51500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c54cvh84268,ca,46,15311,white,—,financial services remarketing (lease),25000,25000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335i,Coupe,manual,wbakg7c55ce263156,ca,47,16827,black,beige,financial services remarketing (lease),32600,34750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c52cdl70551,ca,49,11868,gray,—,financial services remarketing (lease),49200,47000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c59ccy37616,ca,35,42482,black,black,financial services remarketing (lease),33500,33000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl70649,ca,36,35458,black,black,financial services remarketing (lease),45100,44250,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,M3,Base,Convertible,automatic,wbsdx9c5xce784602,ca,42,35920,silver,black,high bid trading co inc,40000,41000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c55cc576684,ca,44,30313,black,gray,financial services remarketing (lease),40500,40000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f82cc009116,ca,39,43807,black,black,ahfc/honda lease trust/hvt  inc. eot,17300,17900,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f59ca015354,ca,47,50229,black,black,ahfc/honda lease trust/hvt  inc. eot,19700,20500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,,,,,automatic,wbakb8c50cc964249,ca,4,33155,gray,gray,financial services remarketing (lease),46100,45500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c57cc808572,ca,39,38866,gray,black,financial services remarketing (lease),33700,34000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c58ce755738,ca,28,20163,black,black,financial services remarketing (lease),23000,20000,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,RDX,Technology Package,SUV,automatic,5j8tb2h51ca002472,ca,37,30901,white,gray,lexus of thousand oaks,23200,22500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,,wbalz3c53cdl72437,ca,46,42686,gray,black,financial services remarketing (lease),43300,41100,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f47cc007861,ca,42,13424,black,beige,ahfc/honda lease trust/hvt  inc. eot,17950,19600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c50cc808946,ca,38,52387,gray,black,financial services remarketing (lease),31300,32500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c56ce755978,ca,27,18057,white,black,financial services remarketing (lease),23000,22250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce728676,ca,28,13661,black,—,financial services remarketing (lease),29400,28250,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TL,Base,Sedan,automatic,19uua8f24ca015137,ca,24,35604,gray,black,ahfc/honda lease trust/hvt  inc. eot,18700,16800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c59ce728503,ca,49,27272,gray,tan,financial services remarketing (lease),28900,31750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c58cc965083,ca,46,30917,gray,gray,financial services remarketing (lease),45200,46000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c53cdl72602,ca,49,26704,silver,tan,financial services remarketing (lease),48700,49250,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c58cc808323,ca,46,41539,white,black,financial services remarketing (lease),32800,36750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,ZDX,Technology Package,Hatchback,automatic,2hnyb1h40ch500373,ca,36,33680,black,black,ahfc/honda lease trust/hvt  inc. eot,28200,26600,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c51ce728303,ca,29,37032,black,black,financial services remarketing (lease),26300,25000,Tue Feb 03 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c54cf341740,ca,48,23936,white,—,financial services remarketing (lease),26900,28000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfaflxcn004222,ca,38,15193,black,black,high bid trading co inc,22900,24250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c54cvh84416,ca,43,33965,blue,—,financial services remarketing (lease),23200,22750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f80cc007347,ca,41,30406,gray,black,ahfc/honda lease trust/hvt  inc. eot,18150,19100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c50cc808722,ca,44,54898,white,tan,financial services remarketing (lease),30600,31000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c54cdy30327,ca,35,62345,gray,black,walters auto sales/service inc,26000,24750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,335is,Convertible,automatic,wbadx1c57ce570754,ca,36,48143,black,black,financial services remarketing (lease),33800,33000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c59cdx05260,ca,38,35294,white,tan,l m auto wholesale,31600,28000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl73387,ca,34,44520,black,black,financial services remarketing (lease),40900,40500,Thu Feb 26 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c53cdx03584,ca,38,59814,white,black,financial services remarketing (lease),26500,28000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl71009,ca,34,26807,black,—,financial services remarketing (lease),48700,47000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,waubgafc0cn029580,ca,36,13936,black,black,ars/executive car leasing co,33900,33100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c50cc618639,ca,37,45540,blue,beige,high bid trading co inc,42800,40750,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f58ca025292,ca,34,28151,black,black,ahfc/honda lease trust/hvt  inc.,21900,21000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c5xce729224,ca,43,29297,white,black,financial services remarketing (lease),28600,30000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c56ce755835,ca,29,61573,white,—,financial services remarketing (lease),20000,19000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Coupe,automatic,wbalx3c51cc528390,ca,42,32341,gray,black,financial services remarketing (lease),43200,43500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c50cds99049,ca,41,17676,blue,black,financial services remarketing (lease),38200,36500,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f49cc003956,ca,19,27906,gray,gray,ag leaseplan,17150,14000,Wed Jan 21 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f64cc008869,ca,33,10225,white,tan,ahfc/honda lease trust/hvt  inc. eot,20500,19400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,R8,4.2 quattro,Coupe,automatic,wuaauafg1cn002532,ca,39,11740,gray,black,the hertz corporation,91000,91000,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c57cf340727,ca,47,44099,white,—,financial services remarketing (lease),23300,23250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake3c53ce769664,ca,4,36013,black,black,financial services remarketing (lease),21900,21000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f44cc006621,ca,45,23568,white,gray,ahfc/honda lease trust/hvt  inc. eot,17450,19100,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c53ce755730,ca,44,47581,white,off-white,financial services remarketing (lease),20900,21250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c51cds99397,ca,46,46766,black,black,financial services remarketing (lease),34000,33750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c5xcc964159,ca,39,29564,white,black,financial services remarketing (lease),45600,47000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c5xcdw92356,ca,42,50727,white,black,high bid trading co inc,28400,26750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,wauggafc6cn169316,ca,42,44002,black,black,trade in solutions irvine,28400,30000,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c51cf256869,ca,28,54355,gray,black,walters auto sales/service inc,22000,22000,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c53cdl70302,ca,34,44067,black,—,financial services remarketing (lease),43000,42250,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c53cc963094,ca,47,32267,blue,gray,financial services remarketing (lease),45700,45000,Thu Jan 15 2015 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c52cc962471,ca,41,53746,black,black,financial services remarketing (lease),38800,39500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce728595,ca,43,26425,blue,brown,financial services remarketing (lease),29000,29000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,MDX,Technology Package,SUV,automatic,2hnyd2h34ch534405,ca,47,36533,brown,beige,desert auto trade,29300,30750,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,,,,,automatic,wbakc8c50cc435719,ca,24,27709,—,black,bmw of bakersfield,41800,33750,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
2012,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c52cl721643,ca,37,37120,black,red,l m auto wholesale,27700,27500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c53cdl73376,ca,37,23496,white,black,financial services remarketing (lease),49800,51250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f42cc009324,ca,27,33771,black,beige,ahfc/honda lease trust/hvt  inc. eot,16900,16200,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c51cdy28437,ca,44,43260,black,black,high bid trading co inc,29900,27750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c58cc576081,ca,38,38006,gray,black,financial services remarketing (lease),38700,37500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper Clubman,Base,Hatchback,automatic,wmwzf3c57ct189809,ca,38,21924,red,black,high bid trading co inc,14250,12600,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c50cfj88662,ca,,57117,gray,—,onemain rem/manheim san francisco bay,22400,17500,Wed Dec 17 2014 00:00:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl72739,ca,43,30156,white,—,financial services remarketing (lease),48200,48500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c51cc965121,ca,34,49972,white,gray,financial services remarketing (lease),39800,40500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce728838,ca,47,17453,blue,black,financial services remarketing (lease),30300,31250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c55cdl72357,ca,39,26391,white,—,financial services remarketing (lease),49100,51500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c5xcvr00070,ca,47,30653,black,black,financial services remarketing (lease),23500,22000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c56cl725811,ca,42,42148,gray,gray,financial services remarketing (lease),25700,29000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c58cdx01066,ca,19,44274,black,black,financial services remarketing (lease),33300,33250,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f55ca013536,ca,37,57367,black,black,ahfc/honda lease trust/hvt  inc. eot,19000,18000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,S5,Premium Plus quattro,Coupe,automatic,waucvafr9ca017644,ca,37,22938,black,black,high bid trading co inc,35700,36500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,wa1dkafp9ca031827,ca,41,38750,black,black,high bid trading co inc,31800,31250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,bmw,750i,xdr 750i xdriv,,automatic,wbakc6c56cc396445,ca,47,15452,beige,gray,financial services remarketing (lease),42800,41500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c59cc964427,ca,42,43022,white,black,financial services remarketing (lease),41800,43750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,MDX,Technology and Entertainment Packages,SUV,automatic,2hnyd2h46ch518845,ca,41,37587,white,beige,trade in solutions irvine,29200,31000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c55cc613607,ca,43,47390,black,black,financial services remarketing (lease),33100,34250,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,550i,Sedan,automatic,wbafr9c52cdv58955,ca,4,43662,gray,gray,financial services remarketing (lease),38400,36500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
